MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Hemant Narayan Rasane,1900-02-23,Kasba Peth,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Hemant Narayan Rasane.jpg
Hikmat Baliram Udhan,1900-03-01,Ghansawangi,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Udhan Hikmat Baliram.jpg
Hiraman Bhika Khoskar,1900-02-29,Igatpuri,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Khoskar Hiraman Bhika.jpg
Indranil Manohar Naik,1900-02-11,Pusad,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Indranil Manohar Naik.jpg
Jayant Rajaram Patil,1900-03-02,Islampur,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jayant Rajaram Patil.jpg
Jaykumar Bhagavanrao Gore,1900-02-19,Man,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jaykumar Bhagavanrao Gore.jpg
Jaykumar Jitendrasinh Rawal,1900-02-18,Sindkheda,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jaykumar Jitendrasinh Rawal.jpg
Jitendra Satish Awhad,1900-03-01,Mumbra - Kalwa,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Awhad Jitendra Satish.jpg
Jitesh Raosaheb Antapurkar,1900-02-03,Deglur,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Antapurkar Jitesh Raosaheb.jpg
Jyoti Eknath Gaikwad,1900-02-16,Dharavi,Female,Indian National Congress,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gaikwad Jyoti Eknath.jpg
Kailas Balasaheb Ghadge Patil,1900-02-12,Osmanabad,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kailas Balasaheb Ghadge Patil.jpg
Kalidas Nilkanth Kolambkar,1900-03-11,Wadala,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kalidas Nilkanth Kolambkar.jpg
Karan Sanjay Deotale,1900-01-29,Warora,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Karan Sanjay Deotale.jpg
Kashinath Mahadu Date,1900-03-10,Parner,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kashinath Mahadu Date Sir.jpg
Kashiram Vechan Pawara,1900-02-27,Shirpur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kashiram Vechan Pawara.jpg
Kewalram Tulsiram Kale,1900-03-01,Melghat,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kewalram Tulsiram Kale.jpg
Kiran Alias Bhaiyya Samant,1900-02-20,Rajapur,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kiran Alias Bhaiyya Samant.jpg
Kiran Yamaji Lahamate,1900-02-19,Akole,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kiran Yamaji Lahamate.jpg
Kisan Maroti Wankhede,1900-02-29,Umarkhed,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kisan Maroti Wankhede.jpg
Kisan Shankar Kathore,1900-03-12,Murbad,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kisan Shankar Kathore.jpg
Kishor Appa Patil,1900-02-23,Pachora,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kishor Appa Patil.jpg
Kishor Gajanan Jorgewar,1900-02-25,Chandrapur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jorgewar Kishor Gajanan.jpg
Krishna Pancham Khopde,1900-03-05,Nagpur East,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Khopde Krishna Pancham.jpg
Kumar Uttamchand Ailani,1900-03-06,Ulhasnagar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ailani Kumar Uttamchand.jpg
Madhuri Satish Misal,1900-02-29,Parvati,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Madhuri Satish Misal.jpg
Mahendra Hari Dalvi,1900-02-28,Alibag,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mahendra Hari Dalvi.jpg
Mahendra Sadashiv Thorve,1900-02-21,Karjat,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Thorve Mahendra Sadashiv.jpg
Mahesh (Dada) Kisan Landge,1900-02-17,Bhosari,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mahesh (Dada) Kisan Landge.jpg
Mahesh Baldi,1900-02-26,Uran,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mahesh Baldi.jpg
Mahesh Baliram Sawant,1900-02-21,Mahim,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mahesh Baliram Sawant.jpg
Mahesh Prabhakar Choughule,1900-02-19,Bhiwandi West,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Choughule Mahesh Prabhakar.jpg
Mahesh Sambhajiraje Shinde,1900-02-18,Koregaon,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mahesh Sambhajiraje Shinde.jpg
Makrand Laxmanrao Jadhav (Patil),1900-02-28,Wai,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Makrand Laxmanrao Jadhav (Patil).jpg
Manda Vijay Mhatre,1900-03-08,Belapur,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Manda Vijay Mhatre.jpg
Mangal Prabhat Lodha,1900-03-09,Malabar Hill,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mangal Prabhat Lodha.jpg
Mangesh Kudalkar,1900-02-22,Kurla,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kudalkar Mangesh.jpg
Mangesh Ramesh Chavan,1900-02-10,Chalisgaon,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mangesh Ramesh Chavan.jpg
Manikrao Shivaji Kokate,1900-03-07,Sinnar,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kokate Manikrao Shivaji.jpg
Manisha Ashok Chaudhary,1900-03-03,Dahisar,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chaudhary Manisha Ashok.jpg
Manjula Tulshiram Gavit,1900-03-01,Sakri,Female,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Manjula Tulshiram Gavit.jpg
Manoj Bhimrao Ghorpade,1900-02-16,Karad North,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Manoj Bhimrao Ghorpade.jpg
Manoj Devanand Kayande,1900-02-04,Sindkhed Raja,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kayande Manoj Devanand.jpg
Manoj Pandurang Jamsutkar,1900-02-24,Byculla,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Manoj Pandurang Jamsutkar.jpg
Meghna Deepak Sakore Bordikar,1900-02-13,Jintur,Female,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bordikar Meghna Deepak Sakore.jpg
Mihir Kotecha,1900-02-19,Mulund,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mihir Kotecha.jpg
Mohan Gopalrao Mate,1900-02-25,Nagpur South,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mohan Gopalrao Mate.jpg
Monica Rajeev Rajale,1900-02-21,Shevgaon,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Monica Rajeev Rajale.jpg
Mufti Mohammad Ismail Abdul Khalique,1900-03-03,Malegaon Central,Male,All India Majlis-E-Ittehadul Muslimeen,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mufti Mohammad Ismail Abdul Khalique.jpg
Murji Patel (Kaka),1900-02-21,Andheri East,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Murji Patel (Kaka).jpg
Namita Akshay Mundada,1900-02-04,Kaij,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Namita Akshay Mundada.jpg
Nanabhau Falgunrao Patole,1900-03-01,Sakoli,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nanabhau Falgunrao Patole.jpg
Narahari Sitaram Zirwal,1900-03-05,Dindori,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Narahari Sitaram Zirwal.jpg
Narayan (Aba) Govindrao Patil,1900-02-27,Karmala,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Narayan (Aba) Govindrao Patil.jpg
Narayan Tilakchand Kuche,1900-02-20,Badnapur,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kuche Narayan Tilakchand.jpg
Narendra Bhojraj Bhondekar,1900-02-14,Bhandara,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bhondekar Narendra Bhojraj.jpg
Narendra Mehta,1900-02-21,Mira Bhayandar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Narendra Mehta.jpg
Nilangekar Sambhaji Diliprao Patil,1900-02-16,Nilanga,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nilangekar Sambhaji Diliprao Patil.jpg
Nilesh Narayan Rane,1900-02-12,Kudal,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nilesh Narayan Rane.jpg
Nitesh Narayan Rane,1900-02-11,Kankavli,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nitesh Narayan Rane.jpg
Nitin Bhikanrao Deshmukh,1900-02-20,Balapur,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nitin Bhikanrao Deshmukh.jpg
Nitin Kashinath Raut,1900-03-12,Nagpur North,Male,Indian National Congress,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nitin Kashinath Raut.jpg
Nitinbhau Arjun (A.T.) Pawar,1900-02-24,Kalwan,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Nitinbhau Arjun (A.T.) Pawar.jpg
Pankaj Rajesh Bhoyar,1900-02-16,Wardha,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Pankaj Rajesh Bhoyar.jpg
Parag Alavani,1900-02-26,Vile Parle,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Alavani Parag.jpg
Parag Shah,1900-02-24,Ghatkopar East,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Parag Shah.jpg
Pradeep Shivnarayan Jaiswal,1900-03-04,Aurangabad Central,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jaiswal Pradeep Shivnarayan.jpg
Prakash (Dada) Sunadarrao Solanke,1900-03-10,Majalgaon,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Prakash (Dada) Sunadarrao Solanke.jpg
Prakash Anandrao Abitkar,1900-02-19,Radhanagari,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Abitkar Prakash Anandrao.jpg
Prakash Gunwant Bharsakle,1900-03-12,Akot,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Prakash Gunwant Bharsakle.jpg
Prakash Surve,1900-03-02,Magathane,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Prakash Surve.jpg
Prashant Bansilal Bumb,1900-02-22,Gangapur,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bumb Prashant Bansilal.jpg
Prashant Ramsheth Thakur,1900-02-19,Panvel,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Prashant Ramsheth Thakur.jpg
Pratap Arunrao Adsad,1900-02-15,Dhamangaon Railway,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Adsad Pratap Arunrao.jpg
Pratap Baburao Sarnaik,1900-02-29,Ovala - Majiwada,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Pratap Baburao Sarnaik.jpg
Prataprao Patil Chikhalikar,1900-03-03,Loha,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Prataprao Patil Chikhalikar.jpg
Pravin Prabhakarrao Datke,1900-02-14,Nagpur Central,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Datke Pravin Prabhakarrao.jpg
Pravin Vasantrao Tayade,1900-02-20,Achalpur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Pravin Vasantrao Tayade.jpg
Pravin Virbhadrayya Swami (Sir),1900-02-17,Umarga,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Pravin Virbhadrayya Swami (Sir).jpg
R Tamil Selvan,1900-03-06,Sion Koliwada,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Captain R Tamil Selvan.jpg
Radhakrushna Eknathrao Vikhe Patil,1900-03-05,Shirdi,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Patil Vikhe Radhakrushna Eknathrao.jpg
Raghavendra (Ramdada) Manohar Patil,1900-01-31,Dhule Rural,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Raghavendra (Ramdada) Manohar Patil.jpg
Rahul Daulatrao Aher,1900-02-20,Chandvad,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Aher Rahul Daulatrao.jpg
Rahul Prakash Awade,1900-02-15,Ichalkaranji,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rahul Prakash Awade.jpg
Rahul Subhashrao Kul,1900-02-16,Daund,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Kul Rahul Subhashrao.jpg
Rahul Suresh Narwekar,1900-02-16,Colaba,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rahul Suresh Narwekar.jpg
Rahul Uttamrao Dhikale,1900-02-14,Nashik East,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rahul Uttamrao Dhikale.jpg
Rahul Vedprakash Patil,1900-02-18,Parbhani,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rahul Vedprakash Patil.jpg
Rais Kasam Shaikh,1900-02-19,Bhiwandi East,Male,Samajwadi Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rais Kasam Shaikh.jpg
Rajan Balkrishna Naik,1900-02-29,Nalasopara,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajan Balkrishna Naik.jpg
Rajendra Dhedya Gavit,1900-02-26,Palghar,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gavit Rajendra Dhedya.jpg
Rajendra Shamgonda Patil (Yadravkar),1900-02-23,Shirol,Male,Rajarshi Shahu Vikas Aghadi,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajendra Shamgonda Patil (Yadravkar).jpg
Rajesh Bhaurao Bakane,1900-02-28,Deoli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Bhaurao Bakane.jpg
Rajesh Govardhan More,1900-02-24,Kalyan Rural,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Govardhan More.jpg
Rajesh Sambhajirao Pawar,1900-02-21,Naigaon,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Sambhajirao Pawar.jpg
Rajesh Shriramji Wankhade,1900-02-23,Teosa,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Shriramji Wankhade.jpg
Rajesh Udesing Padvi,1900-02-24,Shahada,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Udesing Padvi.jpg
Rajesh Uttamrao Vitekar,1900-02-13,Pathri,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Uttamrao Vitekar.jpg
Rajesh Vinayak Kshirsagar,1900-02-24,Kolhapur North,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Rajesh Vinayak Kshirsagar.jpg
Rajkumar Sudam Badole,1900-03-02,Arjuni Morgaon,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Badole Rajkumar Sudam.jpg
Raju Gyanu Khare,1900-02-17,Mohol,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Khare Raju Gyanu.jpg
