MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Anil Bhaidas Patil,1900-02-26,Amalner,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Anil Bhaidas Patil.jpg
Anna Dadu Bansode,1900-02-25,Pimpri,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Anna Dadu Bansode.jpg
Anupbhaiyya Omprakash Agrawal,1900-02-19,Dhule City,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Agrawal Anupbhaiyya Omprakash.jpg
Anuradha Atul Chavan,1900-02-21,Phulambri,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Anuradha Atul Chavan.jpg
Arjun Panditrao Khotkar,1900-03-02,Jalna,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Arjun Panditrao Khotkar.jpg
Ashish Nandkishore Jaiswal (Vakil),1900-02-22,Ramtek,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashish Nandkishore Jaiswal(Vakil).jpg
Ashish Shelar,1900-02-21,Vandre West,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashish Shelar.jpg
Ashishrao Deshmukh,1900-02-18,Savner,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashishrao Deshmukh.jpg
Ashok Dharmaraj Patil,1900-03-04,Bhandup West,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashok Dharmaraj Patil.jpg
Ashok Ramaji Wooike,1900-03-01,Ralegaon,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashok Ramaji Wooike.jpg
